# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 19 08:30:36 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
86,1058,"169.31038350818181,-44.58994460867236",169.31038,-44.58994,0.00017342,1SWASP J111714.49-443523.1,169.310397,-44.589767,2453860.212813,2454662.246181,10.78592,18970,18970,1.078664e+01,4.821787e-02,2.820000e-02
87,1062,"194.71774766335554,-53.435483541046956",194.71775,-53.43548,0.00050074,1SWASP J125852.46-532607.9,194.718583,-53.435547,2453922.203889,2454662.266644,10.10984,123,123,1.011961e+01,7.468640e-02,1.660500e-01
88,1072,"190.63161393255308,-47.26697471415641",190.63161,-47.26697,0.00013276,1SWASP J124231.62-471600.8,190.631783,-47.266908,2453922.203472,2454662.266157,8.88750,110,110,8.845964e+00,9.733564e-02,2.688140e-01
89,1073,"182.5242295413589,-52.304615361709075",182.52423,-52.30462,0.00019484,1SWASP J121005.88-521816.3,182.524522,-52.304542,2453922.203160,2454662.265926,11.99238,115,115,1.198143e+01,8.015782e-02,1.545200e-01
90,1077,"186.43704319130805,-46.8863101913979",186.43704,-46.88631,0.00012645,1SWASP J122544.93-465310.5,186.437214,-46.886267,2453922.203183,2454662.265880,9.79088,236,236,9.827120e+00,8.809534e-02,2.001250e-01
91,1082,"205.84130649618376,-46.63578742059515",205.84131,-46.63579,0.00014744,1SWASP J134321.95-463808.5,205.841494,-46.635714,2453860.418079,2454688.219549,8.73163,3209,3209,8.725166e+00,5.929188e-02,1.281940e-01
92,1092,"185.51773094373698,-48.690309248653534",185.51773,-48.69031,0.00012203,1SWASP J122204.29-484124.9,185.517903,-48.690267,2453922.203194,2454662.265914,10.77153,116,116,1.077462e+01,9.388218e-02,1.273700e-01
93,1097,"169.15773777353158,-44.19443736037562",169.15774,-44.19444,0.00012238,1SWASP J111637.82-441139.7,169.157603,-44.194367,2453860.212813,2454662.246146,9.80288,16141,16141,9.802945e+00,5.211355e-02,2.466000e-02
94,1100,"188.96779715903034,-53.37519618111595",188.96780,-53.37520,0.00035270,1SWASP J123552.34-532229.6,188.968094,-53.374894,2453922.203565,2454662.266319,9.21251,106,106,9.209258e+00,3.275976e-02,1.104870e-01
95,1106,"185.31426370474202,-48.852207838492205",185.31426,-48.85221,0.00020354,1SWASP J122115.41-485107.2,185.314222,-48.852008,2453922.203194,2454662.265914,9.81755,116,116,9.821630e+00,8.513037e-02,1.150470e-01
96,1112,"171.9245045224515,-45.36776919247055",171.92450,-45.36777,0.00049048,1SWASP J112741.80-452202.4,171.924183,-45.367333,2453860.213380,2454662.246377,9.41583,11352,11352,9.419284e+00,6.963048e-02,2.885200e-02
97,1115,"177.67235655016324,-46.639209434887086",177.67236,-46.63921,0.00007503,1SWASP J115041.34-463821.2,177.672256,-46.639233,2453860.214549,2454662.246782,11.61627,11381,11381,1.161802e+01,5.791608e-02,8.455000e-02
98,1116,"194.9993161084517,-50.389631461582304",194.99932,-50.38963,0.00012774,1SWASP J125959.88-502322.4,194.999503,-50.389578,2453922.203831,2454662.266551,9.24178,115,115,9.252025e+00,6.232056e-02,1.627200e-01
99,1129,"170.342989621199,-44.397706888783894",170.34299,-44.39771,0.00014687,1SWASP J112122.36-442351.8,170.343194,-44.397728,2453860.212870,2454662.246215,10.93078,19243,19243,1.093173e+01,5.093482e-02,2.983000e-02
100,1153,"204.75382354977552,-46.58861983810791",204.75382,-46.58862,0.00040615,1SWASP J133901.04-463518.3,204.754336,-46.588422,2453860.388067,2454688.226331,10.84955,6371,6371,1.085394e+01,2.737890e-02,3.911000e-02
